casefileId,lenderLoanNumber,borrowerLastName,executionType,remittanceType,servicing,rateLockExpirationDate,noteRate,loanAmount,submittedCommitmentExpirationDate,passThrough,passThroughPrice,netSRP,passThroughPriceNetSRP,product,userId
YRS18WFU8AQ,606984957,Ward,W,Z,C6K6,06/17/2011,0.06,624414,05/30/2012,N,97,0.05,0.09,RSVN,augue.eu.tellus@etnunc.edu
YXX97IWI0VF,098454084,Molina,U,C,I6P2,08/10/2011,0.02,945142,04/13/2012,N,51,0.08,0.00,KVVT,ante.dictum.cursus@disparturientmontes.com
VLG20SIW1ZQ,222855760,Murphy,T,L,M5F1,06/02/2011,0.07,998540,05/22/2012,Y,16,0.08,0.01,KCDD,laoreet.posuere@lacus.org
MRX32LBX4SQ,922139101,Wilkins,F,O,C3R5,04/19/2011,0.03,947378,08/19/2011,Y,100,0.04,0.06,XTVJ,In.tincidunt.congue@vulputatemaurissagittis.com
UTP91OBF7BL,218961951,Gates,E,C,B0L8,05/01/2011,0.07,307116,09/06/2012,N,9,0.01,0.01,RBHG,felis@Praesenteunulla.ca
FHT19XCN0KR,146534874,Wynn,X,E,A1K1,05/27/2012,0.06,365753,07/16/2012,N,59,0.05,0.06,IUOF,at.egestas.a@libero.org
KUK91VWW3WU,499806232,Simmons,Z,N,Q5T4,04/10/2012,0.05,17616,05/17/2012,Y,28,0.04,0.05,RKRN,Donec@estconguea.com
HCH11XLN1HM,690335418,Sears,T,N,G4A5,09/03/2012,0.00,849346,01/06/2012,Y,37,0.01,0.07,RIYP,nulla.Cras.eu@malesuadaiderat.ca
JXY73NDN3ZG,826977740,Valentine,H,T,G2I9,09/05/2011,0.06,35854,09/08/2012,N,61,0.03,0.09,ODGB,nunc@arcuVestibulum.edu
ILS22KAR4YY,211518514,Wilcox,B,Z,C3B3,06/01/2011,0.00,485182,05/14/2012,Y,8,0.08,0.00,UBFE,commodo@dolorsit.ca
